FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4328 frame=36.8767 sim=17.5352 route=0.0687 render=7.2596 simTicks=5 resim=10 | cmd=0.12 move=0.3243 vis=8.2793 econ=0.2215 combat=19.4246 route=4.9387 coll=5.9368 (field=0.0257 x124) | botsP0=211 botsP1=195 stalled=0
tick=302 frame=35.9023 sim=0.6932 route=0.0252 render=2.8336 simTicks=4 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4827 frame=34.1917 sim=0 route=0 render=22.9641 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=149 botsP1=191 stalled=1
tick=4124 frame=31.9116 sim=11.1993 route=0.058 render=3.6681 simTicks=4 resim=0 | cmd=0.0122 move=0.0894 vis=5.8363 econ=0.1076 combat=2.053 route=0.7551 coll=1.396 (field=0 x0) | botsP0=211 botsP1=195 stalled=0
tick=4303 frame=27.9353 sim=17.0646 route=0.0711 render=6.7568 simTicks=4 resim=3 | cmd=0.0811 move=0.1867 vis=5.3164 econ=0.1592 combat=14.0464 route=4.6708 coll=2.814 (field=0.0045 x24) | botsP0=211 botsP1=195 stalled=0
tick=4271 frame=25.7448 sim=4.7487 route=0.0422 render=6.232 simTicks=3 resim=0 | cmd=0.0077 move=0.0527 vis=1.9093 econ=0.0428 combat=0.9242 route=0.3919 coll=0.9292 (field=0.0011 x5) | botsP0=211 botsP1=195 stalled=0
tick=653 frame=24.4762 sim=1.9855 route=0.0168 render=1.7103 simTicks=3 resim=0 | cmd=0.013 move=0.046 vis=0.1342 econ=0.0191 combat=0.8571 route=0.1396 coll=0.1347 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4827 frame=23.0249 sim=0 route=0 render=12.4213 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=149 botsP1=191 stalled=1
tick=4731 frame=23.0085 sim=0 route=0 render=6.8901 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=161 botsP1=192 stalled=1
tick=4293 frame=21.7353 sim=3.5334 route=0.0346 render=5.9639 simTicks=2 resim=3 | cmd=0.0231 move=0.1027 vis=3.0016 econ=0.0749 combat=1.6846 route=0.8877 coll=1.6748 (field=0.0165 x13) | botsP0=211 botsP1=195 stalled=0
tick=4268 frame=21.6465 sim=12.2251 route=0.0541 render=6.5128 simTicks=2 resim=3 | cmd=0.0263 move=0.0986 vis=3.7814 econ=0.108 combat=1.9631 route=10.1395 coll=1.4704 (field=0.0013 x8) | botsP0=211 botsP1=195 stalled=0
tick=312 frame=21.0579 sim=0.323 route=0.0124 render=1.4738 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4280 frame=21.0358 sim=6.1471 route=0.0462 render=6.1475 simTicks=3 resim=3 | cmd=0.0179 move=0.1043 vis=4.4377 econ=0.0868 combat=2.0816 route=1.8489 coll=1.7507 (field=0.0041 x24) | botsP0=211 botsP1=195 stalled=0
tick=4875 frame=20.8492 sim=0 route=0 render=17.9323 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=137 botsP1=191 stalled=1
tick=4291 frame=20.8167 sim=9.7824 route=0.047 render=6.3592 simTicks=3 resim=3 | cmd=0.0175 move=0.1125 vis=3.9967 econ=0.0958 combat=2.8328 route=4.2477 coll=1.7607 (field=0.003 x17) | botsP0=211 botsP1=195 stalled=0
tick=4827 frame=20.7075 sim=0 route=0 render=8.2702 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=149 botsP1=191 stalled=1
tick=2 frame=20.215 sim=0.4622 route=0.0466 render=1.7235 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
