FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=6203 frame=155.181 sim=128.678 route=0.1447 render=3.6194 simTicks=26 resim=24 | cmd=0.2573 move=1.0593 vis=37.672 econ=1.1357 combat=88.6219 route=50.0522 coll=21.264 (field=0.297 x1745 prewarm=32.9252 x12) | botsP0=463 botsP1=0 stalled=0
tick=6067 frame=149.467 sim=63.8219 route=0.0695 render=5.2254 simTicks=12 resim=24 | cmd=0.1703 move=0.7885 vis=23.4113 econ=0.766 combat=41.6975 route=52.5055 coll=14.7684 (field=0.6656 x3570 prewarm=38.0573 x14) | botsP0=463 botsP1=0 stalled=1
tick=6089 frame=147.3 sim=124.714 route=0.1358 render=4.6507 simTicks=22 resim=24 | cmd=0.1603 move=0.911 vis=26.3657 econ=0.9685 combat=69.3529 route=86.5945 coll=21.8256 (field=0.5008 x2929 prewarm=55.7008 x19) | botsP0=463 botsP1=0 stalled=0
tick=6260 frame=141.147 sim=15.4244 route=0.0544 render=3.5959 simTicks=10 resim=24 | cmd=0.1188 move=0.6536 vis=16.8295 econ=0.6561 combat=44.0284 route=25.5927 coll=12.754 (field=0.8316 x4185 prewarm=19.0486 x7) | botsP0=463 botsP1=0 stalled=1
tick=5628 frame=138.126 sim=197.627 route=0.183 render=4.7026 simTicks=14 resim=11 | cmd=0.0943 move=0.5329 vis=12.3287 econ=0.4625 combat=50.7101 route=222.916 coll=12.3779 (field=1.2912 x4668 prewarm=208.267 x73) | botsP0=463 botsP1=3 stalled=0
tick=5928 frame=134.766 sim=29.155 route=0.0711 render=3.4662 simTicks=13 resim=24 | cmd=0.1889 move=0.9094 vis=26.2651 econ=0.8433 combat=40.5927 route=87.7607 coll=17.9069 (field=1.0734 x2971 prewarm=73.3743 x25) | botsP0=463 botsP1=1 stalled=1
tick=5714 frame=129.5 sim=124.244 route=0.0898 render=6.7196 simTicks=15 resim=24 | cmd=0.1956 move=0.8999 vis=24.4296 econ=0.9519 combat=35.059 route=95.0339 coll=20.684 (field=0.5843 x5123 prewarm=76.614 x28) | botsP0=463 botsP1=3 stalled=0
tick=6260 frame=110.334 sim=0 route=0 render=6.5466 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=0 stalled=1
tick=5752 frame=103.044 sim=19.2839 route=0.0868 render=5.6495 simTicks=8 resim=24 | cmd=0.2038 move=0.8107 vis=22.3545 econ=0.7506 combat=24.1722 route=15.9854 coll=15.1259 (field=0.8626 x4614 prewarm=0.6254 x0) | botsP0=463 botsP1=2 stalled=1
tick=5858 frame=96.2716 sim=21.2601 route=0.0598 render=5.1148 simTicks=10 resim=24 | cmd=0.2107 move=0.9266 vis=23.4764 econ=0.8128 combat=29.4059 route=95.0805 coll=14.9768 (field=0.465 x3662 prewarm=81.1347 x28) | botsP0=463 botsP1=2 stalled=1
