FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6201 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5910 frame=20.8081 sim=11.4223 route=0.3388 render=3.8641 simTicks=3 resim=0 | cmd=0.0117 move=0.0697 vis=1.7383 econ=0.0625 combat=6.8961 route=0.7581 coll=1.3339 (field=0 x0 prewarm=0.0184 x0) | botsP0=463 botsP1=1 stalled=0
tick=5946 frame=20.7844 sim=7.4809 route=0.2496 render=3.8634 simTicks=3 resim=0 | cmd=0.0094 move=0.0568 vis=1.5107 econ=0.0569 combat=0.9147 route=3.3422 coll=1.1068 (field=0.005 x2 prewarm=2.7259 x1) | botsP0=463 botsP1=1 stalled=0
tick=2 frame=20.3364 sim=0.4656 route=0.0307 render=3.0664 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4851 frame=20.1166 sim=3.8403 route=0.4076 render=7.4117 simTicks=2 resim=0 | cmd=0.0068 move=0.0386 vis=0.993 econ=0.0516 combat=0.661 route=0.7371 coll=0.9454 (field=0.0254 x394 prewarm=0.0202 x0) | botsP0=463 botsP1=3 stalled=0
tick=4401 frame=20.0843 sim=5.1545 route=0.7184 render=4.0315 simTicks=3 resim=0 | cmd=0.0103 move=0.0599 vis=1.3632 econ=0.0331 combat=0.9306 route=1.0156 coll=1.2081 (field=0.0485 x897 prewarm=0.0327 x0) | botsP0=463 botsP1=3 stalled=0
tick=5599 frame=19.8489 sim=26.9681 route=0.2042 render=3.8576 simTicks=2 resim=0 | cmd=0.0068 move=0.0386 vis=0.9172 econ=0.0322 combat=4.4672 route=20.0844 coll=0.9909 (field=0.011 x134 prewarm=19.1343 x7) | botsP0=463 botsP1=3 stalled=0
tick=4527 frame=19.829 sim=6.6107 route=1.0209 render=4.402 simTicks=3 resim=0 | cmd=0.0609 move=0.1189 vis=1.582 econ=0.0341 combat=0.943 route=0.9914 coll=1.4303 (field=0.0354 x611 prewarm=0.0269 x0) | botsP0=463 botsP1=3 stalled=0
tick=5933 frame=19.6413 sim=7.1999 route=0.192 render=4.0345 simTicks=2 resim=0 | cmd=0.0069 move=0.0387 vis=1.0752 econ=0.0389 combat=4.4885 route=0.4497 coll=0.7608 (field=0 x0 prewarm=0.0096 x0) | botsP0=463 botsP1=1 stalled=0
tick=5781 frame=19.203 sim=8.763 route=0.2128 render=4.2891 simTicks=2 resim=0 | cmd=0.0069 move=0.039 vis=1.1085 econ=0.0499 combat=2.79 route=3.4895 coll=0.923 (field=0.004 x3 prewarm=2.8878 x1) | botsP0=463 botsP1=2 stalled=0
tick=3799 frame=18.8035 sim=3.1137 route=0.0252 render=6.3061 simTicks=2 resim=0 | cmd=0.0067 move=0.0371 vis=1.1334 econ=0.0462 combat=0.6597 route=0.1502 coll=0.7332 (field=0 x0 prewarm=0.0075 x0) | botsP0=463 botsP1=3 stalled=0
tick=4343 frame=18.7869 sim=5.6628 route=1.3434 render=4.2038 simTicks=3 resim=0 | cmd=0.0095 move=0.0573 vis=1.3613 econ=0.0311 combat=0.9304 route=1.0766 coll=1.1468 (field=0.0347 x597 prewarm=0.0272 x0) | botsP0=463 botsP1=3 stalled=0
tick=5793 frame=18.7183 sim=13.4358 route=0.2133 render=4.2082 simTicks=2 resim=0 | cmd=0.0064 move=0.0379 vis=1.2296 econ=0.0527 combat=4.8129 route=6.1216 coll=0.8209 (field=0.0051 x3 prewarm=5.5134 x2) | botsP0=463 botsP1=2 stalled=0
tick=5863 frame=18.6033 sim=17.1809 route=0.2889 render=4.2152 simTicks=2 resim=0 | cmd=0.0095 move=0.0571 vis=1.2543 econ=0.0413 combat=5.0948 route=9.4085 coll=0.8006 (field=0.0137 x15 prewarm=8.8415 x3) | botsP0=463 botsP1=1 stalled=0
tick=5842 frame=18.4637 sim=13.3445 route=0.2085 render=4.2166 simTicks=2 resim=0 | cmd=0.007 move=0.0441 vis=1.2064 econ=0.0395 combat=4.897 route=6.0174 coll=0.8068 (field=0.0031 x2 prewarm=5.4874 x2) | botsP0=463 botsP1=2 stalled=0
tick=5844 frame=18.3521 sim=5.4596 route=0.2054 render=3.6601 simTicks=2 resim=0 | cmd=0.008 move=0.0449 vis=1.1415 econ=0.0396 combat=2.5447 route=0.5104 coll=0.7939 (field=0 x0 prewarm=0.0076 x0) | botsP0=463 botsP1=2 stalled=0
tick=5730 frame=18.3041 sim=4.0189 route=0.2352 render=3.7868 simTicks=2 resim=0 | cmd=0.0108 move=0.0629 vis=1.3111 econ=0.0378 combat=0.669 route=0.7173 coll=0.8721 (field=0.0041 x46 prewarm=0.0116 x0) | botsP0=463 botsP1=2 stalled=0
tick=6138 frame=18.1432 sim=0 route=0 render=9.1536 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=0 stalled=1
tick=5793 frame=18.0232 sim=0 route=0 render=6.8917 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=2 stalled=1
tick=6015 frame=17.8671 sim=7.1211 route=0.1634 render=3.5266 simTicks=2 resim=0 | cmd=0.0064 move=0.0371 vis=1.1321 econ=0.0397 combat=4.425 route=0.4194 coll=0.7453 (field=0 x0 prewarm=0.0086 x0) | botsP0=463 botsP1=0 stalled=0
tick=3713 frame=17.83 sim=2.9156 route=0.0231 render=6.8615 simTicks=2 resim=0 | cmd=0.0067 move=0.0377 vis=0.9993 econ=0.0458 combat=0.6499 route=0.1847 coll=0.6654 (field=0 x0 prewarm=0.0067 x0) | botsP0=438 botsP1=3 stalled=0
tick=5868 frame=17.4885 sim=7.9162 route=0.2571 render=4.5799 simTicks=2 resim=0 | cmd=0.0116 move=0.1113 vis=1.2676 econ=0.0406 combat=4.6788 route=0.5649 coll=0.8436 (field=0 x0 prewarm=0.0086 x0) | botsP0=463 botsP1=1 stalled=0
