FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=649 resimTicks=84 amplification=1.12943x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=481 frame=7.6601 sim=0 route=0 render=10.0384 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=7.6513 sim=0 route=0 render=8.4161 simTicks=0 resim=2 | cmd=0.0094 move=0.0355 vis=0.0973 econ=0.0142 combat=0.6662 route=0.13 coll=0.1001 (field=0 x0 prewarm=0.0069 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=7.6305 sim=0 route=0 render=10.2356 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=417 frame=7.5697 sim=0 route=0 render=6.3582 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=27 frame=7.542 sim=0.2359 route=0.0094 render=6.3171 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=132 frame=7.489 sim=0 route=0 render=6.651 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=187 frame=7.4846 sim=0.9285 route=0.0094 render=5.2694 simTicks=1 resim=0 | cmd=0.0046 move=0.0149 vis=0.0727 econ=0.008 combat=0.4561 route=0.0763 coll=0.0517 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=349 frame=7.4582 sim=0 route=0 render=6.4329 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=461 frame=7.4256 sim=0 route=0 render=6.8877 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=589 frame=7.4239 sim=0 route=0 render=6.4737 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=187 frame=7.4159 sim=0 route=0 render=6.5195 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=253 frame=7.4136 sim=0 route=0 render=6.6799 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=274 frame=7.408 sim=0 route=0 render=6.6044 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=519 frame=7.4031 sim=0 route=0 render=6.7127 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=110 frame=7.3982 sim=0 route=0 render=6.4108 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=427 frame=7.3979 sim=0.8947 route=0.0103 render=5.5484 simTicks=1 resim=0 | cmd=0.0122 move=0.0184 vis=0.0637 econ=0.0072 combat=0.3343 route=0.0858 coll=0.0615 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=26 frame=7.3875 sim=0.2457 route=0.0099 render=6.4563 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=148 frame=7.377 sim=0 route=0 render=6.6326 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=33 frame=7.3659 sim=0 route=0 render=6.6182 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=601 frame=7.3648 sim=0.7855 route=0.0078 render=6.0036 simTicks=1 resim=0 | cmd=0.0044 move=0.0129 vis=0.0575 econ=0.0069 combat=0.3763 route=0.0675 coll=0.0623 (field=0 x0 prewarm=0.0051 x0) | botsP0=4 botsP1=3 stalled=0
