FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4608 resimTicks=923 amplification=1.2003x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=3686 frame=15.5769 sim=4.1849 route=0.0272 render=3.7288 simTicks=2 resim=0 | cmd=0.0058 move=0.031 vis=1.4123 econ=0.049 combat=1.353 route=0.4588 coll=0.422 (field=0 x0 prewarm=0.0054 x0) | botsP0=165 botsP1=135 stalled=0
tick=4177 frame=15.2556 sim=2.4061 route=0.0108 render=4.5374 simTicks=1 resim=4 | cmd=0.018 move=0.0976 vis=2.6844 econ=0.0679 combat=2.0816 route=0.6801 coll=1.2032 (field=0.0015 x7 prewarm=0.0199 x0) | botsP0=165 botsP1=153 stalled=0
tick=4442 frame=15.249 sim=213.989 route=0.2843 render=3.301 simTicks=5 resim=24 | cmd=0.1135 move=0.5834 vis=9.0724 econ=0.335 combat=109.585 route=490.45 coll=8.0833 (field=0.1991 x835 prewarm=484.495 x196) | botsP0=148 botsP1=140 stalled=0
tick=3631 frame=15.2464 sim=2.8088 route=0.0203 render=4.3626 simTicks=2 resim=0 | cmd=0.0055 move=0.0294 vis=1.2011 econ=0.0313 combat=0.6033 route=0.1537 coll=0.4403 (field=0 x0 prewarm=0.0059 x0) | botsP0=165 botsP1=117 stalled=0
tick=3651 frame=15.0579 sim=3.3438 route=0.0239 render=4.5982 simTicks=2 resim=0 | cmd=0.0073 move=0.0387 vis=1.5041 econ=0.0439 combat=0.5332 route=0.1603 coll=0.5371 (field=0 x0 prewarm=0.0054 x0) | botsP0=165 botsP1=123 stalled=0
tick=3704 frame=14.9911 sim=4.1473 route=0.019 render=3.7858 simTicks=2 resim=0 | cmd=0.0058 move=0.031 vis=1.4975 econ=0.0467 combat=1.6855 route=0.1646 coll=0.41 (field=0 x0 prewarm=0.0052 x0) | botsP0=165 botsP1=141 stalled=0
tick=4542 frame=14.7283 sim=129.048 route=0.2977 render=3.0041 simTicks=5 resim=24 | cmd=0.0952 move=0.5227 vis=7.9414 econ=0.3187 combat=72.1387 route=356.204 coll=7.2793 (field=0.1643 x652 prewarm=350.877 x165) | botsP0=139 botsP1=129 stalled=0
tick=4426 frame=14.5259 sim=219.419 route=0.2956 render=3.1798 simTicks=5 resim=24 | cmd=0.1061 move=0.5872 vis=9.1738 econ=0.3175 combat=85.1028 route=474.904 coll=8.7083 (field=0.2301 x925 prewarm=468.91 x179) | botsP0=152 botsP1=143 stalled=0
tick=4218 frame=14.4321 sim=2.6325 route=0.1038 render=5.1673 simTicks=2 resim=3 | cmd=0.0414 move=0.0978 vis=2.3143 econ=0.0546 combat=2.2166 route=0.7248 coll=1.1606 (field=0.0015 x10 prewarm=0.0205 x0) | botsP0=165 botsP1=153 stalled=0
tick=4560 frame=14.2676 sim=154.476 route=0.2809 render=3.1983 simTicks=5 resim=24 | cmd=0.101 move=0.5209 vis=7.6491 econ=0.3208 combat=81.0436 route=301.64 coll=6.9913 (field=0.1554 x720 prewarm=296.748 x129) | botsP0=136 botsP1=129 stalled=0
tick=4216 frame=14.1459 sim=2.4441 route=0.0688 render=4.3383 simTicks=1 resim=4 | cmd=0.0158 move=0.0812 vis=2.3636 econ=0.0679 combat=3.1656 route=1.5711 coll=1.4913 (field=0.0086 x13 prewarm=0.0221 x0) | botsP0=165 botsP1=153 stalled=0
