FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2569 resimTicks=12 amplification=1.00467x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=856 frame=10.1341 sim=1.0024 route=0.0156 render=5.102 simTicks=1 resim=0 | cmd=0.0077 move=0.0233 vis=0.0682 econ=0.0084 combat=0.4485 route=0.0809 coll=0.067 (field=0 x0 prewarm=0.0036 x0) | botsP0=4 botsP1=3 stalled=0
tick=310 frame=9.7868 sim=0 route=0 render=3.7772 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=652 frame=9.574 sim=0 route=0 render=10.5395 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=9.5643 sim=0 route=0 render=2.3365 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=9.273 sim=0 route=0 render=2.2787 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=9.0507 sim=0.7162 route=0.0076 render=1.4555 simTicks=1 resim=0 | cmd=0.0031 move=0.0129 vis=0.0649 econ=0.0071 combat=0.3004 route=0.0681 coll=0.0493 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=402 frame=8.8234 sim=0 route=0 render=10.6735 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=121 frame=8.6336 sim=0 route=0 render=5.1601 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=754 frame=8.543 sim=0.8076 route=0.0089 render=5.8739 simTicks=1 resim=0 | cmd=0.0077 move=0.0176 vis=0.0604 econ=0.0074 combat=0.3436 route=0.0718 coll=0.0632 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=757 frame=8.5423 sim=0 route=0 render=6.7077 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1129 frame=8.5407 sim=0 route=0 render=5.5795 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1249 frame=8.5027 sim=0 route=0 render=5.1953 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=540 frame=8.5018 sim=0 route=0 render=6.8128 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=752 frame=8.4842 sim=0 route=0 render=6.717 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=545 frame=8.4015 sim=0 route=0 render=6.5571 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2090 frame=8.3978 sim=0.6701 route=0.0084 render=5.0473 simTicks=1 resim=0 | cmd=0.0038 move=0.0133 vis=0.0492 econ=0.0072 combat=0.287 route=0.0593 coll=0.0534 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=1370 frame=8.3977 sim=0.6968 route=0.0083 render=4.897 simTicks=1 resim=0 | cmd=0.0036 move=0.0133 vis=0.0482 econ=0.0081 combat=0.3012 route=0.059 coll=0.0545 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=747 frame=8.3478 sim=0 route=0 render=6.693 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=748 frame=8.3183 sim=0 route=0 render=6.8876 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
