FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4922 frame=115.051 sim=282.386 route=1.2894 render=3.1933 simTicks=18 resim=0 | cmd=0.0637 move=0.3597 vis=6.0624 econ=0.2141 combat=44.1942 route=222.753 coll=5.5897 (field=0.1035 x153) | botsP0=132 botsP1=191 stalled=0
tick=4872 frame=99.2196 sim=318.256 route=0.9023 render=3.1077 simTicks=16 resim=0 | cmd=0.0528 move=0.3099 vis=5.2989 econ=0.1873 combat=48.2083 route=256.732 coll=4.9913 (field=0.0693 x146) | botsP0=139 botsP1=191 stalled=0
tick=4485 frame=89.0957 sim=227.907 route=0.8541 render=3.3458 simTicks=15 resim=0 | cmd=0.0463 move=0.2931 vis=6.3246 econ=0.1862 combat=44.0915 route=168.509 coll=6.2209 (field=0.0687 x214) | botsP0=194 botsP1=194 stalled=0
tick=4445 frame=85.0285 sim=172.653 route=0.765 render=3.5522 simTicks=14 resim=0 | cmd=0.0449 move=0.2944 vis=5.9137 econ=0.167 combat=35.8148 route=123.021 coll=5.2875 (field=0.093 x316) | botsP0=199 botsP1=194 stalled=0
tick=4532 frame=83.6494 sim=318.842 route=0.8384 render=3.4808 simTicks=14 resim=0 | cmd=0.0464 move=0.2894 vis=5.5665 econ=0.1788 combat=44.7598 route=259.762 coll=5.972 (field=0.1896 x434) | botsP0=190 botsP1=194 stalled=0
tick=4851 frame=79.3008 sim=0 route=0 render=4.366 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=143 botsP1=191 stalled=1
tick=4578 frame=78.3466 sim=370.947 route=0.7428 render=3.3974 simTicks=13 resim=0 | cmd=0.0431 move=0.3444 vis=5.6481 econ=0.1499 combat=29.6043 route=327.193 coll=5.0727 (field=2.8966 x269) | botsP0=179 botsP1=194 stalled=0
tick=4514 frame=78.2994 sim=0 route=0 render=18.8868 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=192 botsP1=194 stalled=1
tick=184 frame=65.669 sim=1.4565 route=0.0364 render=26.7773 simTicks=12 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4355 frame=62.5564 sim=32.2538 route=0.4453 render=3.9223 simTicks=7 resim=0 | cmd=0.0198 move=0.1209 vis=3.0798 econ=0.071 combat=15.5267 route=10.3349 coll=2.2653 (field=0.0017 x4) | botsP0=211 botsP1=195 stalled=0
tick=4720 frame=61.7779 sim=297.378 route=0.7193 render=3.4187 simTicks=11 resim=0 | cmd=0.0404 move=0.2379 vis=4.633 econ=0.1511 combat=30.3796 route=256.299 coll=3.7498 (field=5.2237 x100) | botsP0=165 botsP1=192 stalled=0
tick=4817 frame=61.0687 sim=214.696 route=0.7765 render=3.2659 simTicks=11 resim=0 | cmd=0.0373 move=0.2184 vis=3.9124 econ=0.127 combat=31.8293 route=172.823 coll=3.6041 (field=0.0635 x111) | botsP0=151 botsP1=191 stalled=0
tick=4562 frame=58.8776 sim=0 route=0 render=16.5332 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=184 botsP1=194 stalled=1
tick=4466 frame=52.3123 sim=0 route=0 render=15.1728 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=196 botsP1=194 stalled=1
tick=4431 frame=45.7794 sim=80.3121 route=0.5471 render=3.4609 simTicks=10 resim=0 | cmd=0.0322 move=0.2707 vis=4.4732 econ=0.1545 combat=30.483 route=39.358 coll=4.0525 (field=0.0039 x5) | botsP0=204 botsP1=195 stalled=0
tick=4418 frame=41.2991 sim=16.8362 route=0.0559 render=3.4716 simTicks=1 resim=0 | cmd=0.0031 move=0.021 vis=0.3876 econ=0.0108 combat=4.1584 route=11.7442 coll=0.3617 (field=0.02 x81) | botsP0=206 botsP1=195 stalled=0
tick=4851 frame=40.91 sim=0 route=0 render=6.7568 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=143 botsP1=191 stalled=1
tick=4417 frame=40.3436 sim=37.0262 route=0.2544 render=3.5947 simTicks=5 resim=0 | cmd=0.0151 move=0.0936 vis=1.9754 econ=0.0505 combat=11.0693 route=21.5046 coll=1.6712 (field=0.0591 x348) | botsP0=207 botsP1=195 stalled=0
tick=4418 frame=38.8077 sim=0 route=0 render=6.2898 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=206 botsP1=195 stalled=0
tick=4755 frame=37.9412 sim=0 route=0 render=5.2031 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=159 botsP1=192 stalled=1
tick=4707 frame=37.7903 sim=0 route=0 render=16.5128 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4412 frame=37.5774 sim=35.6888 route=0.323 render=3.7981 simTicks=6 resim=0 | cmd=0.0186 move=0.1147 vis=2.5322 econ=0.0612 combat=13.734 route=16.2928 coll=2.2041 (field=0.0272 x117) | botsP0=207 botsP1=195 stalled=0
tick=4707 frame=37.4106 sim=0 route=0 render=37.7536 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4356 frame=37.1678 sim=6.1552 route=0.0474 render=3.4938 simTicks=1 resim=0 | cmd=0.0029 move=0.0167 vis=0.4264 econ=0.0098 combat=2.2959 route=2.9814 coll=0.2913 (field=0.0006 x1) | botsP0=211 botsP1=195 stalled=0
tick=4317 frame=35.2857 sim=12.1338 route=0.2633 render=4.6347 simTicks=4 resim=0 | cmd=0.0111 move=0.0715 vis=2.2624 econ=0.0528 combat=4.371 route=3.61 coll=1.1631 (field=0.0034 x14) | botsP0=211 botsP1=195 stalled=0
tick=4803 frame=34.436 sim=0 route=0 render=6.7364 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=152 botsP1=191 stalled=1
tick=4707 frame=33.1418 sim=0 route=0 render=15.7209 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4382 frame=33.1166 sim=23.7423 route=0.2932 render=3.6886 simTicks=6 resim=0 | cmd=0.0174 move=0.1126 vis=2.5911 econ=0.0603 combat=13.7835 route=4.4475 coll=1.9655 (field=0.0071 x22) | botsP0=210 botsP1=195 stalled=0
tick=4667 frame=33.0963 sim=188.64 route=0.5119 render=3.5964 simTicks=8 resim=0 | cmd=0.0276 move=0.1742 vis=3.1045 econ=0.0975 combat=19.5392 route=161.192 coll=2.8758 (field=0.0305 x119) | botsP0=167 botsP1=192 stalled=0
tick=186 frame=30.964 sim=0.5234 route=0.0168 render=2.4119 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=290 frame=30.8519 sim=0.8595 route=0.0273 render=1.218 simTicks=4 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4386 frame=28.248 sim=19.8024 route=0.2072 render=3.6699 simTicks=4 resim=0 | cmd=0.0121 move=0.079 vis=1.8048 econ=0.0416 combat=8.9241 route=7.078 coll=1.3596 (field=0.0134 x49) | botsP0=210 botsP1=195 stalled=0
