FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4179 frame=13.9157 sim=0 route=0 render=14.9556 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=231 botsP1=203 stalled=1
tick=3483 frame=13.8252 sim=7.0029 route=0.0157 render=3.2626 simTicks=2 resim=0 | cmd=0.0089 move=0.055 vis=2.6056 econ=0.0481 combat=2.6233 route=0.3386 coll=0.8654 | botsP0=164 botsP1=208 stalled=0
tick=3918 frame=13.8192 sim=0 route=0 render=4.9582 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=234 botsP1=208 stalled=1
tick=3991 frame=13.8177 sim=11.1807 route=0.1243 render=4.009 simTicks=2 resim=0 | cmd=0.0059 move=0.0346 vis=2.1206 econ=0.0314 combat=4.3406 route=3.1309 coll=1.1932 | botsP0=234 botsP1=208 stalled=0
tick=3637 frame=13.7658 sim=6.7695 route=0.0076 render=3.8586 simTicks=1 resim=0 | cmd=0.004 move=1.429 vis=1.7826 econ=0.0652 combat=2.6432 route=0.1351 coll=0.5279 | botsP0=227 botsP1=208 stalled=0
tick=3953 frame=13.6698 sim=4.4673 route=0.0464 render=3.7307 simTicks=1 resim=0 | cmd=0.003 move=0.0174 vis=1.2977 econ=0.0157 combat=2.0898 route=0.2098 coll=0.6844 | botsP0=234 botsP1=208 stalled=0
tick=2799 frame=13.5848 sim=2.1947 route=0.0151 render=6.0689 simTicks=2 resim=0 | cmd=0.0056 move=0.0286 vis=0.5717 econ=0.0287 combat=0.422 route=0.2192 coll=0.5812 | botsP0=10 botsP1=208 stalled=0
tick=3687 frame=13.5479 sim=4.9628 route=0.0112 render=5.8038 simTicks=1 resim=0 | cmd=0.0028 move=0.0173 vis=1.6557 econ=0.0225 combat=2.2176 route=0.151 coll=0.6858 | botsP0=227 botsP1=208 stalled=0
tick=3651 frame=13.4483 sim=2.9166 route=0.0086 render=5.5599 simTicks=1 resim=0 | cmd=0.003 move=0.0184 vis=1.7733 econ=0.0229 combat=0.2379 route=0.1322 coll=0.5568 | botsP0=227 botsP1=208 stalled=0
tick=3541 frame=13.4374 sim=3.7979 route=0.0106 render=4.1897 simTicks=1 resim=0 | cmd=0.003 move=0.0179 vis=1.4848 econ=0.0974 combat=0.6093 route=0.8521 coll=0.4991 | botsP0=192 botsP1=208 stalled=0
tick=3344 frame=13.4216 sim=3.3525 route=0.0076 render=3.7032 simTicks=1 resim=0 | cmd=0.0028 move=0.0737 vis=1.3451 econ=0.0357 combat=0.8702 route=0.2882 coll=0.4397 | botsP0=108 botsP1=208 stalled=0
tick=3513 frame=13.0735 sim=2.4547 route=0.0146 render=5.4839 simTicks=1 resim=0 | cmd=0.0032 move=0.0198 vis=1.3788 econ=0.0207 combat=0.24 route=0.122 coll=0.457 | botsP0=178 botsP1=208 stalled=0
tick=2378 frame=13.0702 sim=1.8751 route=0.0168 render=2.2702 simTicks=2 resim=0 | cmd=0.0085 move=0.0408 vis=0.3528 econ=0.0229 combat=0.6064 route=0.2069 coll=0.2554 | botsP0=10 botsP1=112 stalled=0
tick=3674 frame=13.053 sim=2.9301 route=0.0087 render=5.4632 simTicks=1 resim=0 | cmd=0.003 move=0.0184 vis=1.757 econ=0.0326 combat=0.2376 route=0.1276 coll=0.5708 | botsP0=227 botsP1=208 stalled=0
tick=3723 frame=13.0494 sim=2.8128 route=0.0163 render=5.2833 simTicks=1 resim=0 | cmd=0.003 move=0.0176 vis=1.68 econ=0.0223 combat=0.2437 route=0.1244 coll=0.5525 | botsP0=227 botsP1=208 stalled=0
tick=3697 frame=13.0471 sim=6.871 route=0.0202 render=4.367 simTicks=2 resim=0 | cmd=0.0075 move=0.0377 vis=3.3936 econ=0.0982 combat=0.736 route=0.8424 coll=1.2958 | botsP0=227 botsP1=208 stalled=0
tick=3678 frame=12.9047 sim=4.3606 route=0.0086 render=4.039 simTicks=1 resim=0 | cmd=0.0046 move=0.029 vis=2.3078 econ=0.0708 combat=0.8114 route=0.3942 coll=0.5365 | botsP0=227 botsP1=208 stalled=0
tick=3736 frame=12.8273 sim=2.8924 route=0.0091 render=5.2808 simTicks=1 resim=0 | cmd=0.0036 move=0.0188 vis=1.6694 econ=0.0223 combat=0.236 route=0.1603 coll=0.5438 | botsP0=227 botsP1=208 stalled=0
